date,year,month,hour,weekday_name,anatomical_therapeutic_chemical,sales
2014-01-02,2014,1,8,Thursday,M01AB,0.0
2014-01-02,2014,1,8,Thursday,M01AE,0.67
2014-01-02,2014,1,8,Thursday,N02BA,0.4
2014-01-02,2014,1,8,Thursday,N02BE,2.0
2014-01-02,2014,1,8,Thursday,N05B,0.0
2014-01-02,2014,1,8,Thursday,N05C,0.0
2014-01-02,2014,1,8,Thursday,R03,0.0
2014-01-02,2014,1,8,Thursday,R06,1.0
2014-01-02,2014,1,9,Thursday,M01AB,0.0
2014-01-02,2014,1,9,Thursday,M01AE,0.0
2014-01-02,2014,1,9,Thursday,N02BA,1.0
2014-01-02,2014,1,9,Thursday,N02BE,0.0
2014-01-02,2014,1,9,Thursday,N05B,2.0
2014-01-02,2014,1,9,Thursday,N05C,0.0
2014-01-02,2014,1,9,Thursday,R03,0.0
2014-01-02,2014,1,9,Thursday,R06,0.0
2014-01-02,2014,1,10,Thursday,M01AB,0.0
2014-01-02,2014,1,10,Thursday,M01AE,0.0
2014-01-02,2014,1,10,Thursday,N02BA,0.0
2014-01-02,2014,1,10,Thursday,N02BE,3.0
2014-01-02,2014,1,10,Thursday,N05B,2.0
2014-01-02,2014,1,10,Thursday,N05C,0.0
2014-01-02,2014,1,10,Thursday,R03,0.0
2014-01-02,2014,1,10,Thursday,R06,0.0
2014-01-02,2014,1,11,Thursday,M01AB,0.0
2014-01-02,2014,1,11,Thursday,M01AE,0.0
2014-01-02,2014,1,11,Thursday,N02BA,0.0
2014-01-02,2014,1,11,Thursday,N02BE,2.0
2014-01-02,2014,1,11,Thursday,N05B,1.0
2014-01-02,2014,1,11,Thursday,N05C,0.0
2014-01-02,2014,1,11,Thursday,R03,0.0
2014-01-02,2014,1,11,Thursday,R06,0.0
2014-01-02,2014,1,12,Thursday,M01AB,0.0
2014-01-02,2014,1,12,Thursday,M01AE,2.0
2014-01-02,2014,1,12,Thursday,N02BA,0.0
2014-01-02,2014,1,12,Thursday,N02BE,5.0
2014-01-02,2014,1,12,Thursday,N05B,2.0
2014-01-02,2014,1,12,Thursday,N05C,0.0
2014-01-02,2014,1,12,Thursday,R03,0.0
2014-01-02,2014,1,12,Thursday,R06,0.0
2014-01-02,2014,1,13,Thursday,M01AB,0.0
2014-01-02,2014,1,13,Thursday,M01AE,1.0
2014-01-02,2014,1,13,Thursday,N02BA,2.0
2014-01-02,2014,1,13,Thursday,N02BE,20.4
2014-01-02,2014,1,13,Thursday,N05B,0.0
2014-01-02,2014,1,13,Thursday,N05C,0.0
2014-01-02,2014,1,13,Thursday,R03,0.0
2014-01-02,2014,1,13,Thursday,R06,1.0
2014-01-02,2014,1,14,Thursday,M01AB,0.0
2014-01-02,2014,1,14,Thursday,M01AE,0.0
2014-01-02,2014,1,14,Thursday,N02BA,0.0
2014-01-02,2014,1,14,Thursday,N02BE,0.0
2014-01-02,2014,1,14,Thursday,N05B,0.0
2014-01-02,2014,1,14,Thursday,N05C,0.0
2014-01-02,2014,1,14,Thursday,R03,0.0
2014-01-02,2014,1,14,Thursday,R06,0.0
2014-01-02,2014,1,15,Thursday,M01AB,0.0
2014-01-02,2014,1,15,Thursday,M01AE,0.0
2014-01-02,2014,1,15,Thursday,N02BA,0.0
2014-01-02,2014,1,15,Thursday,N02BE,0.0
2014-01-02,2014,1,15,Thursday,N05B,0.0
2014-01-02,2014,1,15,Thursday,N05C,0.0
2014-01-02,2014,1,15,Thursday,R03,0.0
2014-01-02,2014,1,15,Thursday,R06,0.0
2014-01-02,2014,1,16,Thursday,M01AB,0.0
2014-01-02,2014,1,16,Thursday,M01AE,0.0
2014-01-02,2014,1,16,Thursday,N02BA,0.0
2014-01-02,2014,1,16,Thursday,N02BE,0.0
2014-01-02,2014,1,16,Thursday,N05B,0.0
2014-01-02,2014,1,16,Thursday,N05C,0.0
2014-01-02,2014,1,16,Thursday,R03,0.0
2014-01-02,2014,1,16,Thursday,R06,0.0
2014-01-02,2014,1,17,Thursday,M01AB,0.0
2014-01-02,2014,1,17,Thursday,M01AE,0.0
2014-01-02,2014,1,17,Thursday,N02BA,0.0
2014-01-02,2014,1,17,Thursday,N02BE,0.0
2014-01-02,2014,1,17,Thursday,N05B,0.0
2014-01-02,2014,1,17,Thursday,N05C,0.0
2014-01-02,2014,1,17,Thursday,R03,0.0
2014-01-02,2014,1,17,Thursday,R06,0.0
2014-01-02,2014,1,18,Thursday,M01AB,0.0
2014-01-02,2014,1,18,Thursday,M01AE,0.0
2014-01-02,2014,1,18,Thursday,N02BA,0.0
2014-01-02,2014,1,18,Thursday,N02BE,0.0
2014-01-02,2014,1,18,Thursday,N05B,0.0
2014-01-02,2014,1,18,Thursday,N05C,0.0
2014-01-02,2014,1,18,Thursday,R03,0.0
2014-01-02,2014,1,18,Thursday,R06,0.0
2014-01-02,2014,1,19,Thursday,M01AB,0.0
2014-01-02,2014,1,19,Thursday,M01AE,0.0
2014-01-02,2014,1,19,Thursday,N02BA,0.0
2014-01-02,2014,1,19,Thursday,N02BE,0.0
2014-01-02,2014,1,19,Thursday,N05B,0.0
2014-01-02,2014,1,19,Thursday,N05C,0.0
2014-01-02,2014,1,19,Thursday,R03,0.0
2014-01-02,2014,1,19,Thursday,R06,0.0
2014-01-02,2014,1,20,Thursday,M01AB,0.0
